Timestamp,Air Temperature (°C),Leaf Temperature (°C),Humidity (%),Air VPD (kPa),Leaf VPD (kPa)
2025-02-15 12:00:16,20.2,19.0,47,1.25,1.08
2025-02-15 12:00:26,20.2,19.0,47,1.25,1.08
2025-02-15 12:00:36,20.2,19.0,47,1.25,1.08
2025-02-15 12:00:46,20.2,19.0,47,1.25,1.08
2025-02-15 12:00:56,20.2,19.0,47,1.25,1.08
2025-02-15 12:01:06,20.2,19.0,47,1.25,1.08
2025-02-15 12:01:16,20.2,19.0,47,1.25,1.08
2025-02-15 12:01:26,20.2,19.0,47,1.25,1.08
2025-02-15 12:01:37,20.2,19.0,47,1.25,1.08
2025-02-15 12:01:47,20.2,19.0,47,1.25,1.08
2025-02-15 12:01:57,20.2,19.0,47,1.25,1.08
2025-02-15 12:02:07,20.2,19.0,47,1.25,1.08
2025-02-15 12:02:17,20.2,19.0,47,1.25,1.08
2025-02-15 12:02:27,20.2,19.0,47,1.25,1.08
2025-02-15 12:02:37,20.2,19.0,47,1.25,1.08
2025-02-15 12:02:47,20.2,19.0,47,1.25,1.08
2025-02-15 12:02:58,20.2,19.0,47,1.25,1.08
2025-02-15 12:03:08,20.2,19.0,47,1.25,1.08
2025-02-15 12:03:18,20.2,19.0,47,1.25,1.08
2025-02-15 12:03:28,20.2,19.0,47,1.25,1.08
2025-02-15 12:03:38,20.2,19.0,47,1.25,1.08
2025-02-15 12:03:48,20.2,19.0,47,1.25,1.08
2025-02-15 12:03:58,20.2,19.0,47,1.25,1.08
2025-02-15 12:04:08,20.2,19.0,47,1.25,1.08
2025-02-15 12:04:21,20.2,19.0,47,1.25,1.08
2025-02-15 12:04:31,20.2,19.0,47,1.25,1.08
2025-02-15 12:04:41,20.2,19.0,47,1.25,1.08
2025-02-15 12:04:51,20.2,19.0,47,1.25,1.08
2025-02-15 12:05:02,20.2,19.0,47,1.25,1.08
2025-02-15 12:05:12,20.2,19.0,47,1.25,1.08
2025-02-15 12:05:22,20.2,19.0,47,1.25,1.08
2025-02-15 12:05:32,20.2,19.0,47,1.25,1.08
2025-02-15 12:05:42,20.2,19.0,47,1.25,1.08
2025-02-15 12:05:52,20.2,19.0,47,1.25,1.08
2025-02-15 12:06:02,20.2,19.0,47,1.25,1.08
2025-02-15 12:06:12,20.2,19.0,47,1.25,1.08
2025-02-15 12:06:23,20.2,19.0,47,1.25,1.08
2025-02-15 12:06:33,20.2,19.0,47,1.25,1.08
2025-02-15 12:06:43,20.2,19.0,47,1.25,1.08
